
Gurobi 11.0.3 (linux64) logging started Mon Aug 25 15:11:01 2025

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_epstheta_results_bigM100000_thread4/case24_ieee_rts_theta0.1_epsilon0.1_gurobi_seed200000_num_gen100_N_WDR50_load_scaling_factor1_proposed_theta_T14quadra_cost_bc1.03.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Academic license 2399124 - for non-commercial use only - registered to yi___@ed.ac.uk
Optimize a model with 33318 rows, 17411 columns and 766758 nonzeros
Model fingerprint: 0x0fa47dd6
Model has 1400 quadratic constraints
Variable types: 16011 continuous, 1400 integer (1400 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+03]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [6e-01, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 9e+03]
Presolve removed 27340 rows and 7481 columns
Presolve time: 0.27s
Presolved: 5978 rows, 9930 columns, 33335 nonzeros
Presolved model has 1400 quadratic constraint(s)
Variable types: 8530 continuous, 1400 integer (1400 binary)

Root relaxation: objective 1.669033e+04, 4887 iterations, 0.19 seconds (0.17 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16690.3265    0    -          - 16690.3265      -     -    0s
     0     0 182969.829    0  418          - 182969.829      -     -    1s
     0     0 339265.839    0  314          - 339265.839      -     -    1s
     0     0 339279.134    0  191          - 339279.134      -     -    1s
     0     0 339423.358    0  104          - 339423.358      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339430.119    0  104          - 339430.119      -     -    1s
     0     2 339430.119    0  104          - 339430.119      -     -    2s
   228   288 339456.503   55    1          - 339445.784      -  21.3    5s
   400   381 341100.264   39   83          - 339445.784      -  20.8   27s
   596   530 339445.784   37   47          - 339445.784      -  57.2   30s
  1181   899 339456.880   67    -          - 339446.126      -  65.4   35s
  1897  1507 340315.524   59    1          - 339446.126      -  54.4   40s
  2541  2044 339565.594   19   37          - 339446.126      -  50.8   45s
  3412  2953 339706.311   80    -          - 339446.126      -  47.5   50s
  4652  4034 339734.037   65    -          - 339446.126      -  44.1   55s
  5564  4855 339689.651   70    -          - 339446.126      -  43.2   60s
  6988  6194 339662.195   66    -          - 339446.126      -  41.3   65s
  9167  8149 339704.572   32   50          - 339446.126      -  41.1   70s
 10534  9430 339593.811   26   48          - 339446.126      -  41.0   75s
 11953 10241 340304.799   59    -          - 339446.126      -  40.3   80s
 13253 11484 339668.272   66    -          - 339446.126      -  40.0   85s
 14927 12787 340437.409   59    -          - 339446.126      -  39.8   90s
 16378 14150 339834.902   35   29          - 339446.126      -  39.9   95s
 17943 15546 339707.488   27   34          - 339446.126      -  40.7  100s
 18994 16463 339877.210   53    -          - 339446.126      -  40.8  105s
 20544 17799 339652.770   55    -          - 339446.126      -  41.3  110s
 22224 19194 339920.705   54    -          - 339446.126      -  41.6  115s
 23604 20606 339608.884   21   42          - 339446.126      -  41.9  120s
 24310 21191 339831.358   55    -          - 339446.126      -  41.8  125s
 25715 22270 339636.837   28   54          - 339446.126      -  42.1  130s
 26960 23438 339845.958   33   17          - 339446.126      -  42.2  135s
 28184 24672 339564.714   22   30          - 339446.126      -  42.3  140s
 29213 25548          -   57               - 339446.126      -  42.5  145s
 30715 26853 340434.714   65    -          - 339446.126      -  42.7  150s
H31159 26947                    341516.14336 339446.126  0.61%  42.7  152s
 153614 110082 340283.728   57    - 340585.973 339446.126  0.33%  56.1 1780s
 153918 110423 340106.702   47   29 340585.973 339446.126  0.33%  56.1 1785s
 154441 110788 339817.230   40    1 340585.973 339446.126  0.33%  56.1 1792s
 154926 111174 340082.933   39   29 340585.973 339446.126  0.33%  56.1 1797s
 155438 111532 340302.376   39   29 340585.973 339446.126  0.33%  56.1 1802s
 155554 111543 340135.443   65    - 340585.973 339446.126  0.33%  56.1 1805s
 155837 111570          -   49      340585.973 339446.126  0.33%  56.1 1810s
 156371 112195 340083.868   49   14 340585.973 339446.126  0.33%  56.1 1815s
 156594 112218          -   59      340585.973 339446.126  0.33%  56.1 1820s
 157239 112651          -   73      340585.973 339446.126  0.33%  56.1 1825s
 157469 113031          -   61      340585.973 339446.126  0.33%  56.1 1830s
 157945 113421 340369.892   47   29 340585.973 339446.126  0.33%  56.1 1835s
 158479 113770 339987.564   40   15 340585.973 339446.126  0.33%  56.1 1840s
 158938 114163 339778.562   29   29 340585.973 339446.126  0.33%  56.1 1846s
 159447 114498 339876.656   38   29 340585.973 339446.126  0.33%  56.1 1853s
 159687 114517          -   49      340585.973 339446.126  0.33%  56.1 1855s
 160454 115187 339714.693   36   28 340585.973 339446.126  0.33%  56.1 1862s
 160900 115539 340070.508   28   29 340585.973 339446.126  0.33%  56.1 1868s
 161373 115583          -   50      340585.973 339446.126  0.33%  56.1 1872s
 161413 115978 339805.662   38   28 340585.973 339446.126  0.33%  56.1 1875s
 161921 116023          -   56      340585.973 339446.126  0.33%  56.1 1880s
 162482 116681 340427.311   41    - 340585.973 339446.126  0.33%  56.1 1887s
 162945 116983          -   53      340585.973 339446.126  0.33%  56.1 1892s
 163246 117014          -   67      340585.973 339446.126  0.33%  56.1 1896s
 163444 117395          -   50      340585.973 339446.126  0.33%  56.1 1900s
 163926 117674 339923.810   35   29 340585.973 339446.126  0.33%  56.1 1906s
 164385 118022 340208.322   46   14 340585.973 339446.126  0.33%  56.1 1911s
 164889 118423 339994.373   47    3 340585.973 339446.126  0.33%  56.1 1916s
 165451 118805 340060.766   37   42 340585.973 339446.126  0.33%  56.1 1922s
 165933 119132 340548.766   53    1 340585.973 339446.126  0.33%  56.1 1928s
 166080 119150          -   53      340585.973 339446.126  0.33%  56.1 1930s
 166472 119437          -   57      340585.973 339446.126  0.33%  56.1 1935s
 166833 119849 339972.019   33   18 340585.973 339446.126  0.33%  56.1 1940s
 167363 120239 339768.553   28   29 340585.973 339446.126  0.33%  56.1 1945s
 167890 120628 340024.053   46   14 340585.973 339446.126  0.33%  56.1 1950s
 168407 120998 339988.842   67   24 340585.973 339446.126  0.33%  56.1 1958s
 168490 121006          -   60      340585.973 339446.126  0.33%  56.1 1960s
 168906 121047 339801.148   39   29 340585.973 339446.126  0.33%  56.1 1977s
 168927 121337 339819.049   57    - 340585.973 339446.126  0.33%  56.1 1980s
 169352 121674     cutoff   38      340585.973 339446.126  0.33%  56.1 1986s
 169803 121979 339969.077   32   30 340585.973 339446.126  0.33%  56.1 1996s
 170250 122357 340510.794   35   15 340585.973 339446.126  0.33%  56.1 2002s
 170498 122375          -   48      340585.973 339446.126  0.33%  56.2 2005s
 170771 122797 340219.868   47   27 340585.973 339446.126  0.33%  56.2 2010s
 171331 123164 339821.468   32   42 340585.973 339446.126  0.33%  56.1 2019s
 171393 123167          -   60      340585.973 339446.126  0.33%  56.1 2020s
 171839 123510 340234.518   52   28 340585.973 339446.126  0.33%  56.1 2025s
 172362 123970 340298.636   55    3 340585.973 339446.126  0.33%  56.1 2033s
 172937 124346 339672.046   32   31 340585.973 339446.126  0.33%  56.1 2038s
 173473 124725 340002.197   40   42 340585.973 339446.126  0.33%  56.1 2044s
 173550 124732 339678.845   48    - 340585.973 339446.126  0.33%  56.1 2045s
 173971 125054 339962.585   39   29 340585.973 339446.126  0.33%  56.1 2050s
 174486 125380 339824.652   22   30 340585.973 339446.126  0.33%  56.1 2058s
 174613 125390          -   61      340585.973 339446.126  0.33%  56.1 2060s
 174943 125673 340497.680   37   15 340585.973 339446.126  0.33%  56.1 2066s
 175073 125695          -   55      340585.973 339446.126  0.33%  56.1 2070s
 175488 126033          -   53      340585.973 339446.126  0.33%  56.2 2075s
 175932 126355 339898.389   55    3 340585.973 339446.126  0.33%  56.2 2081s
 176367 126708 340144.292   39   29 340585.973 339446.126  0.33%  56.1 2086s
 176854 127095     cutoff   49      340585.973 339446.126  0.33%  56.1 2094s
 176874 127099 340518.233   56    - 340585.973 339446.126  0.33%  56.2 2095s
 177398 127433     cutoff   42      340585.973 339446.126  0.33%  56.2 2100s
 177953 127790 339798.070   52   13 340585.973 339446.126  0.33%  56.1 2105s
 178400 128126 339991.412   36   28 340585.973 339446.126  0.33%  56.2 2111s
 178663 128157          -   55      340585.973 339446.126  0.33%  56.2 2115s
 179439 128844 340344.048   31   17 340585.973 339446.126  0.33%  56.2 2124s
 179442 128844 340560.724   34    - 340585.973 339446.126  0.33%  56.2 2125s
 179900 129180          -   44      340585.973 339446.126  0.33%  56.2 2132s
 180138 129201          -   53      340585.973 339446.126  0.33%  56.2 2135s
 180457 129559 339828.793   35   19 340585.973 339446.126  0.33%  56.2 2140s
 180999 129906 340359.093   63    - 340585.973 339446.126  0.33%  56.2 2145s
 181486 129951 340090.850   34   30 340585.973 339446.126  0.33%  56.2 2178s
 181490 130278 340207.221   34   30 340585.973 339446.126  0.33%  56.2 2181s
 181992 130628 340094.774   54   15 340585.973 339446.126  0.33%  56.2 2188s
 182075 130640          -   69      340585.973 339446.126  0.33%  56.1 2190s
 182530 131034 340436.209   64    - 340585.973 339446.126  0.33%  56.1 2198s
 182663 131045          -   54      340585.973 339446.126  0.33%  56.1 2200s
 183052 131085 340260.890   55    - 340585.973 339446.126  0.33%  56.1 2206s
 183095 131447          -   52      340585.973 339446.126  0.33%  56.1 2210s
 183566 131495 340561.473   47    - 340585.973 339446.126  0.33%  56.1 2215s
 184105 131924          -   50      340585.973 339446.126  0.33%  56.1 2224s
 184135 131926          -   55      340585.973 339446.126  0.33%  56.1 2225s
 184280 132286          -   49      340585.973 339446.126  0.33%  56.1 2230s
 184690 132562 340307.300   49   27 340585.973 339446.126  0.33%  56.1 2235s
 185209 132976 339941.850   29   30 340585.973 339446.126  0.33%  56.1 2242s
 185618 133012          -   50      340585.973 339446.126  0.33%  56.1 2246s
 185803 133391          -   53      340585.973 339446.126  0.33%  56.1 2250s
 186327 133722 340046.487   45   12 340585.973 339446.126  0.33%  56.1 2256s
 186814 134090 339893.479   39   43 340585.973 339446.126  0.33%  56.1 2261s
 187016 134111          -   54      340585.973 339446.126  0.33%  56.1 2265s
 187319 134126          -   52      340585.973 339446.126  0.33%  56.1 3600s

Cutting planes:
  Gomory: 15
  Implied bound: 62
  MIR: 47
  Flow cover: 65
  RLT: 35

Explored 187324 nodes (10525615 simplex iterations) in 3600.38 seconds (3180.37 work units)
Thread count was 4 (of 128 available processors)

Solution count 6: 340586 340586 340943 ... 341516

Time limit reached
Warning: max constraint violation (4.1984e-07) exceeds tolerance
Best objective 3.405859732119e+05, best bound 3.394461257485e+05, gap 0.3347%

Gurobi 11.0.3 (linux64) logging started Mon Aug 25 16:11:03 2025

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_epstheta_results_bigM100000_thread4/case24_ieee_rts_theta0.1_epsilon0.1_gurobi_seed200000_num_gen100_N_WDR50_load_scaling_factor1_proposed_theta_T14quadra_cost_bc1.03.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Academic license 2399124 - for non-commercial use only - registered to yi___@ed.ac.uk
Optimize a model with 33319 rows, 17412 columns and 771099 nonzeros
Model fingerprint: 0xb0ee4e76
Model has 1400 quadratic constraints
Variable types: 16012 continuous, 1400 integer (1400 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+03]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [6e-01, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e-01, 1e+00]
  RHS range        [1e+00, 4e+05]
Presolve removed 24720 rows and 6172 columns
Presolve time: 0.28s
Presolved: 8599 rows, 11240 columns, 45356 nonzeros
Presolved model has 1400 quadratic constraint(s)
Variable types: 9838 continuous, 1402 integer (1402 binary)

Root relaxation: objective 1.026052e+01, 9193 iterations, 0.20 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   10.26052    0    -          -   10.26052      -     -    0s
     0     0    3.73787    0   31          -    3.73787      -     -    1s
     0     0    1.01923    0   18          -    1.01923      -     -    2s
     0     0    0.99862    0   17          -    0.99862      -     -    2s
     0     0    0.99851    0   17          -    0.99851      -     -    2s
     0     0    0.99851    0   17          -    0.99851      -     -    2s
     0     0    0.99845    0   17          -    0.99845      -     -    2s
H    0     0                       0.9932340    0.99845  0.53%     -    2s
     0     2    0.99845    0   17    0.99323    0.99845  0.53%     -    2s
H   20    11                       0.9973236    0.99788  0.06%  34.5    3s
*   20    11               6       0.9973236    0.99788  0.06%  34.9    3s

Cutting planes:
  Gomory: 9
  Lift-and-project: 1
  Implied bound: 24
  MIR: 11
  Flow cover: 8
  RLT: 5

Explored 23 nodes (20061 simplex iterations) in 3.68 seconds (4.79 work units)
Thread count was 4 (of 128 available processors)

Solution count 2: 0.997324 0.993234 

Optimal solution found (tolerance 1.00e-03)
Warning: max constraint violation (1.7080e-09) exceeds tolerance
Best objective 9.973236265762e-01, best bound 9.978817683623e-01, gap 0.0560%
